id,category
0,cs
1,physics
2,physics
3,cs
4,cs
5,cs
6,math
7,cs
8,cs
9,stat
10,cs
11,math
12,cs
13,math
14,cs
15,math
16,math
17,cs
18,math
19,physics
20,math
21,cs
22,cs
23,math
24,cs
25,cs
26,cs
27,physics
28,cs
29,math
30,stat
31,cs
32,math
33,physics
34,math
35,math
36,math
37,math
38,cs
39,math
40,math
41,cs
42,stat
43,math
44,cs
45,cs
46,cs
47,cs
48,cs
49,math
50,physics
51,physics
52,cs
53,physics
54,cs
55,stat
56,physics
57,stat
58,cs
59,cs
60,stat
61,math
62,cs
63,physics
64,math
65,cs
66,math
67,cs
68,math
69,stat
70,physics
71,cs
72,cs
73,math
74,cs
75,cs
76,cs
77,cs
78,cs
79,math
80,physics
81,cs
82,cs
83,cs
84,cs
85,cs
86,math
87,math
88,cs
89,physics
90,stat
91,cs
92,cs
93,physics
94,cs
95,cs
96,cs
97,math
98,math
99,math
100,cs
101,stat
102,cs
103,math
104,math
105,cs
106,math
107,physics
108,cs
109,stat
110,cs
111,math
112,cs
113,cs
114,math
115,stat
116,cs
117,math
118,stat
119,stat
120,math
121,cs
122,math
123,stat
124,physics
125,cs
126,stat
127,cs
128,math
129,cs
130,cs
131,physics
132,math
133,cs
134,cs
135,math
136,math
137,math
138,cs
139,cs
140,cs
141,physics
142,physics
143,physics
144,math
145,cs
146,cs
147,physics
148,math
149,cs
150,physics
151,math
152,cs
153,cs
154,cs
155,stat
156,physics
157,cs
158,cs
159,physics
160,stat
161,stat
162,math
163,stat
164,cs
165,stat
166,cs
167,physics
168,cs
169,cs
170,physics
171,cs
172,cs
173,cs
174,cs
175,math
176,stat
177,cs
178,math
179,cs
180,math
181,cs
182,physics
183,cs
184,physics
185,math
186,cs
187,cs
188,math
189,cs
190,cs
191,cs
192,math
193,physics
194,stat
195,cs
196,math
197,math
198,math
199,math
200,math
201,cs
202,cs
203,stat
204,cs
205,stat
206,math
207,math
208,physics
209,cs
210,cs
211,cs
212,cs
213,math
214,stat
215,math
216,cs
217,math
218,cs
219,cs
220,physics
221,stat
222,cs
223,physics
224,math
225,math
226,physics
227,cs
228,stat
229,physics
230,cs
231,physics
232,physics
233,math
234,physics
235,cs
236,cs
237,cs
238,cs
239,math
240,cs
241,math
242,math
243,cs
244,stat
245,math
246,cs
247,physics
248,physics
249,physics
250,cs
251,math
252,math
253,cs
254,math
255,cs
256,stat
257,math
258,cs
259,cs
260,physics
261,cs
262,cs
263,cs
264,cs
265,math
266,math
267,cs
268,stat
269,stat
270,math
271,physics
272,cs
273,cs
274,physics
275,math
276,cs
277,math
278,math
279,cs
280,stat
281,math
282,cs
283,cs
284,cs
285,stat
286,cs
287,physics
288,cs
289,physics
290,cs
291,cs
292,math
293,cs
294,cs
295,cs
296,physics
297,math
298,math
299,cs
300,cs
301,physics
302,cs
303,math
304,cs
305,cs
306,math
307,cs
308,physics
309,physics
310,cs
311,physics
312,physics
313,math
314,physics
315,cs
316,stat
317,math
318,stat
319,math
320,stat
